# num_qubits init_mean init_min init_max vc_mean vc_min vc_max steiner_mean steiner_min steiner_max detached_mean detached_min detached_max
16 3.1 1.0 6.0 3.1 1.0 6.0 3.1 1.0 6.0 3.1 1.0 6.0
24 13.2 11.0 17.0 13.5 11.0 17.0 13.5 11.0 17.0 13.3 11.0 17.0
32 37.1 28.0 44.0 37.2 28.0 45.0 37.2 28.0 45.0 37.1 28.0 44.0
40 69.4 61.0 74.0 70.5 62.0 76.0 70.5 62.0 76.0 69.4 61.0 74.0
48 115.4 98.0 127.0 116.7 99.0 129.0 116.7 99.0 129.0 115.5 97.0 128.0
56 167.1 156.0 174.0 169.3 156.0 177.0 169.3 156.0 177.0 166.4 155.0 173.0
64 245.1 234.0 259.0 248.6 240.0 260.0 248.6 240.0 260.0 245.3 237.0 258.0
72 325.0 314.0 337.0 328.5 315.0 341.0 328.5 315.0 341.0 324.2 311.0 337.0
80 434.5 412.0 475.0 440.9 416.0 482.0 440.9 416.0 482.0 433.8 411.0 475.0
