# num_qubits init_mean init_min init_max vc_mean vc_min vc_max steiner_mean steiner_min steiner_max detached_mean detached_min detached_max
16 9.2 7.0 12.0 9.2 7.0 12.0 9.2 7.0 12.0 9.2 7.0 12.0
24 35.6 32.0 41.0 36.2 32.0 41.0 36.2 32.0 41.0 35.6 32.0 41.0
32 80.8 76.0 84.0 83.8 77.0 89.0 83.8 77.0 89.0 80.5 76.0 85.0
40 153.4 148.0 160.0 160.7 152.0 171.0 160.7 152.0 171.0 153.3 145.0 163.0
48 246.7 241.0 256.0 257.1 244.0 267.0 257.1 244.0 267.0 243.6 235.0 252.0
56 362.2 353.0 378.0 381.0 365.0 403.0 381.0 365.0 403.0 358.6 350.0 372.0
64 497.5 474.0 520.0 524.2 504.0 552.0 524.2 504.0 552.0 494.0 472.0 518.0
72 656.1 638.0 673.0 690.8 676.0 708.0 690.8 676.0 708.0 652.3 637.0 669.0
80 855.4 837.0 882.0 895.1 879.0 920.0 895.1 879.0 920.0 848.0 828.0 879.0
