# num_qubits r_mean r_min r_max
16 0.12388310432434083 0.1174628734588623 0.13503003120422363
24 0.4611828327178955 0.4415464401245117 0.48999953269958496
32 1.1609568119049072 1.1303553581237793 1.1843640804290771
40 2.4436264514923094 2.3502848148345947 2.534247875213623
48 4.371290779113769 4.2999513149261475 4.459360122680664
56 7.0459106922149655 6.746915817260742 7.199301242828369
64 10.743626880645753 10.61703109741211 10.85368275642395
72 16.709986400604247 16.27884292602539 17.166396617889404
80 25.857872200012206 25.623905181884766 26.247406721115112
88 35.5199031829834 35.24000573158264 36.302305936813354
96 47.87649402618408 47.21384119987488 49.00438117980957
