# num_qubits r_mean r_min r_max
16 0.09333453178405762 0.08936834335327148 0.09878087043762207
24 0.37384510040283203 0.35277843475341797 0.3950011730194092
32 0.8388271808624268 0.8020689487457275 0.868736982345581
40 1.9365875720977783 1.8627758026123047 1.9921307563781738
48 3.5686807155609133 3.479739189147949 3.636737108230591
56 5.53099045753479 5.208888292312622 5.742050647735596
64 8.76857557296753 8.687275648117065 8.826874494552612
72 13.366047620773315 13.137954950332642 13.680548429489136
80 19.94767770767212 19.118842363357544 20.742925882339478
88 25.913860702514647 24.85289239883423 26.49363875389099
96 35.198087739944455 34.74762558937073 35.56891369819641
