# num_qubits r_mean r_min r_max
16 0.1787816047668457 0.14686250686645508 0.22435903549194336
24 0.5994921684265136 0.5524702072143555 0.6542840003967285
32 1.4874441623687744 1.4735195636749268 1.5016722679138184
40 3.1915865898132325 3.0713300704956055 3.3338239192962646
48 5.960624074935913 5.577300786972046 6.264683961868286
56 9.632483959197998 9.42394757270813 9.90259313583374
64 15.050464010238647 14.824639320373535 15.403351306915283
72 22.423002910614013 21.10209894180298 23.157281637191772
80 36.41711373329163 35.877095222473145 37.17153835296631
88 49.52927193641663 48.264094829559326 50.6437714099884
96 69.48571138381958 67.91149640083313 71.94117546081543
