# num_qubits r_mean r_min r_max
16 0.19325966835021974 0.17502617835998535 0.19935011863708496
24 0.9257352828979493 0.883995771408081 0.9710578918457031
32 2.449516201019287 2.3260488510131836 2.680203676223755
40 5.20430850982666 4.914334058761597 5.473323345184326
48 10.718553256988525 9.675497770309448 11.4434232711792
56 18.491941928863525 16.7028386592865 20.44572424888611
64 29.208730840682982 28.34700298309326 31.780500173568726
72 40.605500316619874 39.02617383003235 43.525195360183716
80 67.48090257644654 65.49271154403687 69.14374613761902
88 95.86110444068909 88.55107879638672 100.69223380088806
96 132.93711085319518 126.3791983127594 139.15797305107117
