# num_qubits fraction PE_cost_mean PE_cost_lower PE_cost_upper time_PE_mean time_PE_lower time_PE_upper ebit_fraction_mean ebit_fraction_lower ebit_fraction_upper
80 0.5 1611.200000 1582.395486 1640.004514 22.139946 21.173049 23.106843 1.031673 1.011805 1.051542
88 0.5 2003.600000 1964.404337 2042.795663 32.856797 31.399746 34.313848 1.047740 1.033746 1.061733
96 0.5 2528.200000 2488.397990 2568.002010 50.213768 47.753986 52.673550 1.111619 1.090924 1.132313
16 0.6 13.800000 12.704555 14.895445 0.059281 0.044715 0.073846 0.183235 0.168468 0.198002
24 0.6 58.600000 54.562674 62.637326 0.233833 0.209623 0.258043 0.351687 0.330307 0.373067
32 0.6 122.200000 117.818220 126.581780 0.607375 0.540004 0.674747 0.411088 0.392675 0.429500
40 0.6 249.600000 239.145336 260.054664 1.959581 1.271899 2.647263 0.533151 0.512907 0.553395
48 0.6 403.400000 392.945336 413.854664 3.353517 3.270826 3.436208 0.597352 0.579616 0.615088
56 0.6 640.200000 633.221461 647.178539 6.489967 6.034606 6.945327 0.689097 0.670587 0.707608
64 0.6 883.600000 865.370902 901.829098 11.421382 10.774810 12.067954 0.724318 0.702411 0.746225
72 0.6 1198.800000 1183.366271 1214.233729 17.953058 17.199182 18.706934 0.789998 0.775798 0.804199
80 0.6 1670.400000 1626.750258 1714.049742 31.053907 29.052090 33.055725 0.878342 0.862783 0.893901
88 0.6 2092.600000 2044.847513 2140.352487 44.829903 43.956257 45.703548 0.909785 0.888237 0.931333
96 0.6 2609.800000 2569.885091 2649.714909 65.068764 62.098109 68.039420 0.955913 0.934716 0.977109
16 0.7 13.200000 12.104555 14.295445 0.052366 0.039392 0.065341 0.150515 0.136513 0.164518
24 0.7 60.200000 57.710020 62.689980 0.288201 0.259573 0.316829 0.301038 0.291357 0.310718
32 0.7 128.400000 125.890020 130.909980 0.684331 0.625298 0.743363 0.368163 0.359268 0.377058
40 0.7 257.400000 250.522500 264.277500 1.969516 1.883589 2.055443 0.471223 0.450171 0.492275
48 0.7 409.800000 400.120124 419.479876 4.577386 3.672794 5.481978 0.516671 0.496407 0.536936
56 0.7 634.200000 623.750120 644.649880 8.394175 8.066197 8.722153 0.587658 0.573072 0.602245
64 0.7 864.200000 853.774071 874.625929 14.965223 13.144071 16.786374 0.608612 0.600364 0.616861
72 0.7 1179.600000 1166.435654 1192.764346 23.261441 22.651698 23.871184 0.653312 0.646788 0.659835
80 0.7 1578.800000 1537.578646 1620.021354 38.827411 36.871160 40.783663 0.709681 0.687057 0.732305
88 0.7 1968.600000 1923.752481 2013.447519 59.560388 57.633779 61.486997 0.733228 0.710582 0.755873
96 0.7 2510.400000 2479.866412 2540.933588 84.081444 80.993327 87.169561 0.787744 0.775871 0.799617
16 0.8 12.600000 11.459825 13.740175 0.062287 0.048834 0.075740 0.128755 0.115685 0.141825
24 0.8 55.200000 50.081406 60.318594 0.300018 0.287611 0.312424 0.247316 0.222268 0.272364
32 0.8 115.600000 107.802565 123.397435 0.809693 0.781604 0.837782 0.290166 0.268604 0.311728
40 0.8 228.600000 219.418497 237.781503 2.331389 1.777629 2.885149 0.362119 0.346010 0.378227
48 0.8 350.000000 343.366750 356.633250 4.358603 4.204095 4.513111 0.382359 0.375012 0.389705
56 0.8 566.400000 557.137171 575.662829 9.363412 8.098495 10.628328 0.455982 0.444149 0.467815
64 0.8 761.600000 744.605883 778.594117 15.014678 14.730764 15.298591 0.471118 0.460427 0.481809
72 0.8 1041.800000 1008.933604 1074.666396 26.472005 24.719611 28.224398 0.507198 0.486865 0.527531
80 0.8 1447.600000 1427.881988 1467.318012 41.238863 39.885809 42.591917 0.571706 0.567228 0.576184
88 0.8 1711.200000 1657.499907 1764.900093 61.137984 59.532906 62.743062 0.555941 0.537358 0.574525
96 0.8 2217.800000 2169.094764 2266.505236 90.088015 88.095424 92.080605 0.606216 0.591829 0.620604
16 0.9 11.200000 10.363340 12.036660 0.066600 0.058976 0.074224 0.103117 0.093778 0.112456
24 0.9 45.600000 39.251772 51.948228 0.304719 0.298577 0.310861 0.180748 0.152764 0.208731
32 0.9 93.200000 90.085518 96.314482 0.892515 0.874063 0.910968 0.204264 0.195747 0.212781
40 0.9 168.800000 159.381932 178.218068 2.092015 2.069629 2.114402 0.235959 0.220357 0.251561
48 0.9 244.600000 232.504546 256.695454 4.176637 3.932720 4.420553 0.238228 0.224174 0.252282
56 0.9 410.800000 388.135049 433.464951 8.800989 8.440506 9.161472 0.293604 0.277234 0.309974
64 0.9 551.000000 526.958369 575.041631 15.361696 14.946847 15.776544 0.300986 0.287229 0.314743
72 0.9 759.400000 715.464820 803.335180 25.928358 23.780095 28.076622 0.327820 0.308670 0.346971
80 0.9 1096.600000 1007.834579 1185.365421 48.673353 46.993078 50.353627 0.383756 0.351084 0.416429
88 0.9 1287.400000 1238.020855 1336.779145 68.679076 63.956812 73.401340 0.371952 0.356402 0.387502
96 0.9 1574.200000 1515.875905 1632.524095 95.047938 91.858594 98.237283 0.381806 0.367186 0.396426
