circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	4	6.0	6.46600489616394
qft_n29	29	4	39.0	10.436245250701905
bv_n30	30	4	3.0	1.1865058898925782
knn_n31	31	4	3.0	5.087226915359497
cc_n32	32	4	3.0	4.737291479110718
QV_n32	32	4	639.4	7.8126609325408936
dnn_n33	33	4	13.2	6.920189332962036
ising_n34	34	4	3.0	0.26715240478515623
cat_n35	35	4	3.0	2.062884712219238
wstate_n36	36	4	4.2	2.333924674987793
qugan_n39	39	4	15.2	8.323641633987426
ghz_n40	40	4	3.0	2.6986972808837892
swap_test_n41	41	4	3.0	11.705682277679443
knn_n41	41	4	3.0	11.285526371002197
ising_n42	42	4	3.0	0.34240131378173827
dnn_n51	51	4	17.6	15.352244663238526
qft_n63	63	4	93.0	83.43533201217652
cc_n64	64	4	3.0	22.91608018875122
adder_n64	64	4	7.4	36.823184156417845
cat_n65	65	4	3.0	8.868976974487305
ising_n66	66	4	3.0	0.5928075790405274
knn_n67	67	4	4.0	34.33911452293396
bv_n70	70	4	3.0	6.299074602127075
qugan_n71	71	4	22.4	30.40251407623291
wstate_n76	76	4	4.8	12.219450235366821
ghz_n78	78	4	3.0	12.730657148361207
swap_test_n83	83	4	4.0	60.37808275222778
ising_n98	98	4	3.0	0.8647959709167481
adder_n28	28	6	14.8	10.864574241638184
qft_n29	29	6	70.0	17.99142518043518
bv_n30	30	6	3.0	1.8728915691375732
knn_n31	31	6	5.0	8.948477125167846
cc_n32	32	6	5.0	7.418724060058594
QV_n32	32	6	1248.0	12.590539646148681
dnn_n33	33	6	26.4	11.365757369995118
ising_n34	34	6	5.0	0.43412322998046876
cat_n35	35	6	5.0	3.2165716171264647
wstate_n36	36	6	7.2	3.6432268142700197
qugan_n39	39	6	23.0	14.248583841323853
ghz_n40	40	6	5.0	4.089470338821411
swap_test_n41	41	6	7.0	19.014777517318727
knn_n41	41	6	7.0	19.771635007858276
ising_n42	42	6	5.0	0.5487449645996094
dnn_n51	51	6	31.2	26.867007398605345
qft_n63	63	6	150.0	132.098450422287
cc_n64	64	6	5.0	34.1944703578949
adder_n64	64	6	21.4	56.91470818519592
cat_n65	65	6	5.0	12.557146978378295
ising_n66	66	6	5.0	0.8668134689331055
knn_n67	67	6	5.0	56.37756681442261
bv_n70	70	6	5.0	9.258367395401
qugan_n71	71	6	34.0	48.185165357589725
wstate_n76	76	6	8.0	18.57373332977295
ghz_n78	78	6	5.0	19.302638912200926
swap_test_n83	83	6	5.0	86.95234041213989
ising_n98	98	6	5.0	1.3412904739379883
adder_n28	28	8	17.0	15.221040344238281
qft_n29	29	8	91.0	25.226800298690797
bv_n30	30	8	4.8	2.5475608348846435
knn_n31	31	8	7.4	12.892550134658814
cc_n32	32	8	6.0	9.823609352111816
QV_n32	32	8	1477.2	17.951524019241333
dnn_n33	33	8	26.8	15.365955066680907
ising_n34	34	8	6.0	0.6123114585876465
cat_n35	35	8	6.0	4.531587696075439
wstate_n36	36	8	10.2	5.134272289276123
qugan_n39	39	8	40.0	17.243353033065794
ghz_n40	40	8	6.0	5.754109287261963
swap_test_n41	41	8	6.8	22.961065340042115
knn_n41	41	8	6.6	23.855141115188598
ising_n42	42	8	6.0	0.7517039775848389
dnn_n51	51	8	32.8	35.81900172233581
qft_n63	63	8	217.0	194.30791482925414
cc_n64	64	8	7.0	48.256580638885495
adder_n64	64	8	20.6	84.8583263874054
cat_n65	65	8	7.0	17.96216673851013
ising_n66	66	8	7.0	1.2750811100006103
knn_n67	67	8	8.2	88.09366383552552
bv_n70	70	8	6.0	13.010530853271485
qugan_n71	71	8	44.8	66.8085223197937
wstate_n76	76	8	12.2	26.24423122406006
ghz_n78	78	8	7.0	28.145309162139892
swap_test_n83	83	8	8.0	136.2230197906494
ising_n98	98	8	7.0	1.977628469467163
adder_n28	28	10	30.6	21.293605375289918
qft_n29	29	10	126.0	35.127818727493285
bv_n30	30	10	4.2	3.7091830730438233
knn_n31	31	10	7.8	18.199693870544433
cc_n32	32	10	7.8	14.988085412979126
QV_n32	32	10	2277.6	25.396708822250368
dnn_n33	33	10	35.4	19.13993330001831
ising_n34	34	10	8.0	0.898485803604126
cat_n35	35	10	8.0	6.372398042678833
wstate_n36	36	10	16.0	7.254270887374878
qugan_n39	39	10	48.8	25.56554546356201
ghz_n40	40	10	7.0	7.762242412567138
swap_test_n41	41	10	9.6	38.43276643753052
knn_n41	41	10	10.0	39.06700291633606
ising_n42	42	10	8.0	1.0126125812530518
dnn_n51	51	10	40.0	47.572967529296875
qft_n63	63	10	252.0	239.4262421131134
cc_n64	64	10	9.0	58.6988639831543
adder_n64	64	10	31.2	108.16703248023987
cat_n65	65	10	9.0	23.000559186935426
ising_n66	66	10	9.0	1.6711463451385498
knn_n67	67	10	12.0	110.20569348335266
bv_n70	70	10	6.8	17.87429757118225
qugan_n71	71	10	47.0	98.29757447242737
wstate_n76	76	10	15.4	33.11553516387939
ghz_n78	78	10	9.0	33.911844635009764
swap_test_n83	83	10	10.2	186.8610032081604
ising_n98	98	10	9.0	2.5625170707702636
