x cost time 
0 737 12.800840139389038 
1 671 13.05520510673523 
2 668 12.93991994857788 
3 706 13.026647090911865 
4 645 13.671057224273682 
5 776 13.506869077682495 
6 731 13.054991960525513 
7 732 13.852055072784424 
8 690 13.659689903259277 
9 727 13.888901948928833 
10 611 13.555052995681763 
11 753 13.185281991958618 
12 664 13.30055284500122 
13 702 13.40786099433899 
14 676 13.080195665359497 
15 760 12.772271156311035 
16 668 13.042532205581665 
17 657 13.270626783370972 
18 691 12.756590843200684 
19 744 12.65217113494873 
20 855 12.450536966323853 
21 791 13.115309000015259 
22 669 12.970809936523438 
23 741 13.205095052719116 
24 595 13.233608961105347 
25 713 12.699839115142822 
26 782 13.459641933441162 
27 661 12.903815031051636 
28 706 13.310745000839233 
29 669 13.321782112121582 
30 682 13.35874891281128 
31 716 13.842925071716309 
32 778 13.140414953231812 
33 633 13.088518857955933 
34 790 14.319914102554321 
35 679 13.416971683502197 
36 658 13.090490818023682 
37 709 13.535411834716797 
38 706 13.603036165237427 
39 653 12.668575048446655 
40 807 14.020475149154663 
41 727 14.221490859985352 
42 698 13.788980960845947 
43 648 13.17148208618164 
44 740 14.699227094650269 
45 631 12.899548053741455 
46 629 13.735721111297607 
47 639 13.586074113845825 
48 639 13.657770872116089 
49 667 13.761547803878784 
50 745 13.632761240005493 
51 668 12.987251043319702 
52 768 14.15130615234375 
53 745 13.107495069503784 
54 683 13.465006828308105 
55 639 13.445765972137451 
56 738 13.255784273147583 
57 675 12.801888942718506 
58 680 12.757019281387329 
59 602 13.47006607055664 
60 708 13.250268936157227 
61 683 13.245904207229614 
62 692 13.52559518814087 
63 724 13.38401198387146 
64 676 13.871061086654663 
65 693 14.018259763717651 
66 592 13.2968270778656 
67 646 13.322508096694946 
68 840 13.897532224655151 
69 714 13.172120809555054 
70 674 13.758638143539429 
71 632 13.667013168334961 
72 672 13.63823413848877 
73 644 13.526403188705444 
74 788 13.695017099380493 
75 704 13.33891773223877 
76 691 13.43529224395752 
77 714 13.159523010253906 
78 669 12.780910015106201 
79 637 13.367305994033813 
80 615 12.865909099578857 
81 606 13.251465082168579 
82 718 13.357178926467896 
83 679 13.452200889587402 
84 659 13.374009132385254 
85 759 13.550402879714966 
86 692 13.196944952011108 
87 764 13.00517201423645 
88 722 13.410952806472778 
89 898 13.525711059570312 
90 659 13.814271926879883 
91 696 13.215163946151733 
92 695 13.75998592376709 
93 670 13.913474082946777 
94 713 13.502389907836914 
95 736 12.793241262435913 
96 653 12.494163990020752 
97 664 12.517204999923706 
98 661 13.522962808609009 
99 752 13.34629511833191 
