x	max_time_b	mean_time_b	min_time_b	max_time_f	mean_time_f	min_time_f	max_time_r	mean_time_r	min_time_r	max_time_w	mean_time_w	min_time_w
1	0.004636361881206928	0.004412412643432617	0.004188463405658306	0.026497864300146133	0.022702789306640624	0.018907714313135114	0.005200221908003573	0.004873132705688477	0.004546043503373381	0.0045747748171062405	0.004380702972412109	0.004186631127717978
2	0.004642490251231218	0.004348611831665039	0.004054733412098861	0.023437125841759672	0.020952224731445312	0.018467323621130953	0.004756076632195776	0.004576206207275391	0.004396335782355005	0.003803736020913669	0.0035685062408447265	0.003333276460775784
3	0.004554412388877929	0.004293107986450195	0.004031803584022461	0.024334373377026437	0.021019124984741212	0.017703876592455987	0.004810731651213552	0.004557657241821289	0.004304582832429026	0.0036511967895427578	0.003362560272216797	0.003073923754890836
4	0.00431742387792061	0.0041943550109863285	0.004071286144052047	0.023275488398702318	0.02054600715637207	0.01781652591404182	0.004706682922906386	0.004542922973632813	0.00437916302435924	0.0036899263175674147	0.0033142566680908203	0.002938587018614226
5	0.004492907471591405	0.004239416122436524	0.003985924773281643	0.02203357213877893	0.020133304595947265	0.0182330370531156	0.004729070329573017	0.004547786712646484	0.004366503095719952	0.0035401722996707017	0.0033292293548583983	0.003118286410046095
6	0.004446236026610739	0.004210615158081054	0.00397499428955137	0.02139028402334002	0.019551420211791994	0.017712556400243967	0.004732891322090253	0.004552125930786133	0.004371360539482012	0.0034937816721231398	0.0033376216888427734	0.003181461705562407
7	0.004661759011633605	0.004352712631225586	0.004043666250817566	0.021611458235504935	0.019895172119140624	0.018178886002776312	0.004869858436957397	0.004618930816650391	0.004368003196343385	0.0034244699448441273	0.0032654285430908205	0.0031063871413375137
8	0.004354619396081287	0.004201745986938477	0.004048872577795667	0.02262751622616659	0.019963645935058595	0.0172997756439506	0.004937368738557102	0.004693603515625	0.004449838292692899	0.0033214542351814574	0.0031868934631347655	0.0030523326910880735
9	0.0045125896426378535	0.004248428344726563	0.003984267046815272	0.02250141249458243	0.020626354217529296	0.018751295940476163	0.004819023936035464	0.004523611068725586	0.004228198201415709	0.003545957121385704	0.0033564090728759764	0.0031668610243662486
10	0.004518831586458223	0.004266357421875	0.0040138832572917775	0.02197268451385447	0.020531606674194337	0.019090528834534205	0.0048628785720277335	0.004640007019042968	0.004417135466058203	0.0032953387502170643	0.0031887054443359374	0.0030820721384548105
11	0.00556217057319359	0.005307292938232422	0.005052415303271255	0.022146200094748464	0.020570802688598632	0.0189954052824488	0.004844266921907861	0.004454565048217773	0.004064863174527686	0.005915764640669379	0.005581331253051758	0.005246897865434136
12	0.0055444306945151775	0.005190992355346679	0.004837554016178181	0.02098756723676913	0.02000579833984375	0.019024029442918367	0.0050116932992918415	0.0045874595642089845	0.0041632258291261276	0.005922232482358513	0.005599021911621094	0.005275811340883675
13	0.005493653124853135	0.005200576782226562	0.00490750043959999	0.02019676005364143	0.019335126876831053	0.018473493700020677	0.004863876205561653	0.004428768157958984	0.003993660110356315	0.0056435764143994375	0.005427360534667969	0.0052111446549365
14	0.005399393823125409	0.005130195617675781	0.004860997412226153	0.019734202401478187	0.018698978424072265	0.017663754446666343	0.004926569148165593	0.004540109634399414	0.004153650120633234	0.005583551261695897	0.005392980575561523	0.00520240988942715
15	0.0055263205088468	0.005221366882324219	0.004916413255801637	0.01979518245567021	0.018932390213012695	0.018069597970355178	0.0047652165628678765	0.004439163208007813	0.004113109853147749	0.005672485336379715	0.005400705337524414	0.005128925338669113
16	0.005555297216256901	0.005207633972167969	0.004859970728079037	0.02037056428405334	0.019307756423950197	0.018244948563847053	0.004451904193465339	0.004254674911499024	0.004057445629532709	0.005429273081423945	0.005284595489501953	0.005139917897579962
17	0.0052844708739947545	0.005139636993408203	0.004994803112821652	0.020372399309250017	0.019339847564697265	0.018307295820144513	0.004547799093059063	0.0042708396911621095	0.003993880289265156	0.005572523618699528	0.005380153656005859	0.005187783693312191
18	0.005489059804861612	0.005252027511596679	0.005014995218331746	0.019609061428361642	0.018753623962402342	0.017898186496443043	0.004509469216544797	0.004305219650268555	0.004100970083992313	0.0055126607072834705	0.005347490310668945	0.00518231991405442
19	0.005448346889796588	0.0052449703216552734	0.005041593753513959	0.02070287419233008	0.01992807388305664	0.0191532735737832	0.004542525258868814	0.004233455657958985	0.0039243860570491555	0.005579624820544128	0.005427646636962891	0.005275668453381653
20	0.00533353110198303	0.0051768779754638675	0.005020224848944705	0.019196507491444626	0.018533754348754882	0.017871001206065138	0.0043697762582160056	0.004225587844848633	0.004081399431481261	0.005814642700889763	0.005490636825561524	0.005166630950233285
21	0.00800281230577033	0.0075260639190673825	0.007049315532364433	0.05867916002270675	0.031422662734985354	0.004166165447263958	0.0046983613123780694	0.004557371139526367	0.004416380966674665	0.008033209835773507	0.007828378677368164	0.00762354751896282
22	0.007731199765165357	0.007273626327514648	0.00681605288986394	0.023338606589556152	0.020969629287719727	0.0186006519858833	0.0047137426708827165	0.004455280303955078	0.004196817937027439	0.008307466878284297	0.007941722869873047	0.0075759788614617974
23	0.007739163030686437	0.007256746292114258	0.0067743295535420784	0.023852432340042435	0.021555328369140626	0.019258224398238818	0.004787468674587695	0.004491949081420898	0.004196429488254101	0.0082456748986843	0.007866525650024414	0.007487376401364527
24	0.007943279306242123	0.007411670684814453	0.006880062063386783	0.022895431426107154	0.020528173446655272	0.01816091546720339	0.004836899296113776	0.004526996612548828	0.004217093928983879	0.007960295392159639	0.007761859893798828	0.0075634243954380165
25	0.008057011048241629	0.007449293136596679	0.00684157522495173	0.023326570169914778	0.021023988723754883	0.018721407277594988	0.004626968286195579	0.004451608657836914	0.00427624902947825	0.008235732311773651	0.007955598831176757	0.007675465350579862
26	0.008090357101006323	0.0074346065521240234	0.006778856003241724	0.022417420318013016	0.020629024505615233	0.01884062869321745	0.0047662189689287255	0.004519033432006836	0.004271847895084947	0.008129900446295704	0.007865238189697265	0.007600575933098825
27	0.008319390080849346	0.007624244689941407	0.006929099299033468	0.023237638619786675	0.021187829971313476	0.019138021322840277	0.004673866266162316	0.0044495582580566405	0.004225250249950965	0.008829927317665376	0.008126068115234374	0.0074222089128033715
28	0.008464245321792309	0.007643222808837891	0.006822200295883474	0.020826670435157884	0.020058345794677735	0.019290021154197586	0.004742272798855752	0.004581260681152344	0.004420248563448936	0.008641574072243514	0.008046293258666992	0.0074510124450904705
29	0.008622380341226464	0.007771968841552734	0.006921557341879004	0.02311553098526834	0.02055325508117676	0.017990979177085177	0.004767219336719734	0.004433393478393555	0.004099567620067375	0.008552808682507755	0.00809483528137207	0.007636861880236384
