x y1 y2
1.0 66.10378813743591 197.0
0.9473684210526316 66.5785698890686 184.0
0.8947368421052632 51.374672174453735 168.0
0.8421052631578947 41.00987768173218 167.0
0.7894736842105263 33.98721718788147 171.0
0.736842105263158 28.602674961090088 148.0
0.6842105263157895 24.609210729599 155.0
0.631578947368421 20.44732904434204 145.0
0.5789473684210527 16.88066267967224 147.0
0.5263157894736843 13.584961891174316 140.0
0.4736842105263158 11.352663040161133 137.0
0.42105263157894735 8.64962387084961 136.0
0.368421052631579 6.9262309074401855 132.0
0.3157894736842106 5.601810932159424 119.0
0.26315789473684215 4.563945055007935 120.0
0.21052631578947367 3.4726991653442383 113.0
0.1578947368421053 2.6330032348632812 115.0
0.10526315789473695 2.047060966491699 115.0
0.052631578947368474 1.6372349262237549 116.0
0.0 1.3310458660125732 137.0
