# num_qubits r_mean r_min r_max
16 0.8974324703216553 0.878075361251831 0.9589929580688477
24 3.20037956237793 3.166112184524536 3.239614486694336
32 7.6496500968933105 7.577725410461426 7.741751670837402
40 16.148260021209715 15.985294342041016 16.28317666053772
48 30.778190183639527 29.790522575378418 31.518216609954834
56 50.82859029769897 50.45601511001587 51.80674982070923
64 75.76374440193176 74.57656359672546 76.37725949287415
72 120.89065165519715 120.09384155273438 121.82140278816223
80 174.08082447052 172.37880873680115 175.26448559761047
88 247.6607005596161 244.00074553489685 249.93721556663513
96 339.17198006312054 335.90814542770386 341.837327003479
