num_qubits r_mean r_min r_max
16 0.25676641464233396 0.25444746017456055 0.2594130039215088
24 0.7621766090393066 0.7465939521789551 0.7819349765777588
32 1.679410743713379 1.5931007862091064 1.8232872486114502
40 3.0350647926330567 2.931396722793579 3.091804265975952
48 5.1067126274108885 4.9958415031433105 5.217294692993164
56 7.855525636672974 7.602431297302246 8.178130626678467
64 11.166041326522826 10.7829270362854 11.61835265159607
72 15.26691403388977 15.08481240272522 15.470316410064697
80 21.13281044960022 20.790701627731323 21.47440767288208
88 28.691220092773438 28.1237051486969 29.176932096481323
96 37.54184284210205 36.61583685874939 39.25324988365173
