pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	577.6265215003093	561.4	545.1734784996906	600.0179044669788	573.2	546.3820955330212	571.5426549851735	556.4	541.2573450148265	550.7230074707348	519.2	487.67699252926525
2	498.5756383720751	483.4	468.22436162792485	585.0010273791864	555.8	526.5989726208135	502.58505768594966	487.2	471.8149423140503	542.0260377550197	508.6	475.1739622449804
3	563.5833267143225	542.6	521.6166732856775	593.9915083001736	562.2	530.4084916998265	548.8783521763024	534.8	520.7216478236975	544.2528172904832	509.2	474.14718270951676
4	495.6177292610203	483.2	470.78227073897966	570.6458562910553	543.8	516.9541437089446	502.9803088366512	484.2	465.4196911633488	539.2528172904832	504.2	469.14718270951676
5	553.8711869639076	537.4	520.9288130360924	580.4744495101388	557.2	533.9255504898613	558.607315441595	542.2	525.7926845584051	546.2005649672432	510.8	475.3994350327569
6	499.6905199388379	484.4	469.10948006116206	556.2035711032455	536.6	516.9964288967545	500.60448653432724	485.0	469.39551346567276	539.1923287095356	504.0	468.80767129046444
7	547.4498995979887	535.0	522.5501004020113	570.90535002541	543.8	516.6946499745899	560.6341797826963	541.6	522.5658202173038	546.106979363084	511.0	475.8930206369161
8	502.5309522073883	486.2	469.8690477926117	549.749473061413	528.4	507.0505269385869	505.7788317918899	490.2	474.6211682081101	537.8063947544639	503.4	468.99360524553606
9	553.4493243106139	536.8	520.150675689386	560.8843582110895	535.0	509.1156417889104	563.9258240356726	537.0	510.0741759643275	543.1528253507496	508.2	473.24717464925044
10	504.1911741795557	487.2	470.2088258204443	541.5874965103292	519.2	496.81250348967086	500.1584737377712	482.6	465.04152626222884	537.4943799483432	502.8	468.1056200516568
11	472.4535710973315	453.2	433.94642890266846	548.7297811104793	528.4	508.0702188895207	495.6177292610203	483.2	470.78227073897966	532.6154726279432	499.0	465.38452737205677
12	457.9014285131243	440.4	422.89857148687565	534.0768161587685	513.6	493.1231838412316	472.52996408614166	460.0	447.47003591385834	529.9082079496949	496.4	462.891792050305
13	450.2499190936393	434.8	419.35008090636074	549.4317334486904	522.0	494.5682665513096	490.50036495864254	476.8	463.0996350413575	529.7141761050455	496.2	462.6858238949545
14	445.09394787808344	429.4	413.7060521219165	533.2683468996171	508.8	484.33165310038294	468.20769003320726	455.2	442.1923099667927	528.0520676048874	494.8	461.54793239511264
15	439.13552872566004	428.0	416.86447127433996	529.9533129885327	509.2	488.4466870114673	491.27615541731126	476.4	461.5238445826887	527.9811323954117	494.6	461.2188676045884
