# num_qubits r_mean r_min r_max
112 11.201976680755616 10.983265399932861 11.342124938964844
128 15.083481168746948 14.613346815109253 15.846070528030396
144 20.729501843452454 20.217257976531982 21.273366451263428
160 26.488735151290893 25.58917546272278 27.60134530067444
176 32.95861654281616 32.16012907028198 33.83348321914673
192 40.269978284835815 39.518747091293335 41.06579899787903
208 47.019869327545166 46.2562153339386 48.90736770629883
224 56.091461944580075 54.33802890777588 57.0050003528595
240 64.84744772911071 64.02793717384338 66.00868344306946
256 74.2729118824005 72.63546943664551 77.73457860946655
272 89.26711988449097 87.37728428840637 92.67629170417786
288 103.03765292167664 100.26390647888184 106.99291777610779
304 131.7293468952179 116.55642652511597 157.55345678329468
320 138.602632188797 131.72012782096863 142.9053590297699
336 154.26157155036927 148.34068131446838 158.38862681388855
352 191.7669750213623 175.51941084861755 238.18916845321655
368 201.95683932304382 196.4717345237732 207.7517728805542
384 232.0400891304016 232.0400891304016 232.0400891304016
