# circuit_name  num_partitions  part_cost  part_time  embed_cost  embed_time esd_cost esd_time MLFM_rec_cost MLFM_rec_time 
adder_n64 2 4.0 0.2761074066162109 3.2 0.8584044456481933 3.0 5.765479707717896 3.0 17.993713521957396
adder_n64 3 9.0 0.2841218948364258 8.4 0.8828646659851075 8.0 5.7797437667846685 8.4 25.086091089248658
adder_n64 4 12.0 0.2946320056915283 10.8 0.9192268371582031 9.0 5.729992246627808 11.4 32.60915584564209
bv_n70 2 1.0 0.01737380027770996 1.0 0.024934959411621094 1.0 0.07203516960144044 0.0 2.065694808959961
bv_n70 3 1.0 0.019037771224975585 1.0 0.026742982864379882 1.0 0.07878260612487793 11.2 2.8620940685272216
bv_n70 4 2.0 0.0217465877532959 2.0 0.02959728240966797 3.0 0.06143622398376465 16.2 3.738866949081421
cat_n65 2 1.0 0.02789335250854492 1.0 0.040712499618530275 1.0 0.07488656044006348 1.0 4.744626998901367
cat_n65 3 3.8 0.04015116691589356 3.8 0.053017187118530276 4.0 0.08440399169921875 2.0 5.737260437011718
cat_n65 4 8.0 0.05071654319763184 8.0 0.06390347480773925 21.0 0.1226187229156494 3.0 7.5676538944244385
cc_n64 2 15.0 1.3711639881134032 15.0 7.549390172958374 15.0 105.61560487747194 2.8 11.650952577590942
cc_n64 3 28.0 1.3778573036193849 28.0 11.27149510383606 28.0 100.4145929813385 15.0 13.952420806884765
cc_n64 4 47.2 1.412893009185791 47.2 15.374748754501342 47.0 87.58458914756775 27.0 17.438529777526856
dnn_n51 2 4.0 0.19919862747192382 4.0 0.3948389530181885 4.0 5.02379231452942 5.6 7.515621042251587
dnn_n51 3 11.0 0.21131544113159179 10.2 0.6516381740570067 10.0 3.103432559967041 11.6 11.320708465576171
dnn_n51 4 15.0 0.2286086082458496 15.0 0.4556006908416748 15.0 3.277793598175049 20.0 13.544240999221802
ghz_n78 2 1.0 0.03877239227294922 1.0 0.05722579956054688 1.0 0.10344858169555665 1.0 6.586875104904175
ghz_n78 3 2.0 0.047132015228271484 2.0 0.0688784122467041 2.0 0.12637548446655272 2.0 9.036054849624634
ghz_n78 4 3.0 0.04687256813049316 3.0 0.06580610275268554 3.0 0.11407885551452637 3.0 11.392710161209106
ising_n66 2 1.0 0.07107043266296387 1.0 0.11270198822021485 1.0 0.5051894187927246 1.0 0.2614238739013672
ising_n66 3 2.0 0.07639293670654297 2.0 0.1184499740600586 2.0 0.5019319534301758 2.0 0.35468120574951173
ising_n66 4 3.0 0.0783620834350586 3.0 0.12030000686645509 3.0 0.5056344985961914 3.0 0.47586884498596194
ising_n98 2 1.0 0.14711685180664064 1.0 0.24084033966064455 1.0 1.3537542343139648 1.0 0.41153512001037595
ising_n98 3 2.0 0.15643820762634278 2.0 0.24964561462402346 2.0 1.3694442749023439 2.0 0.5780457973480224
ising_n98 4 3.0 0.1641186237335205 3.0 0.258251428604126 3.0 1.3778501987457275 3.0 0.7597107887268066
knn_n67 2 1.0 0.18723316192626954 1.0 0.30923514366149907 1.0 11.15382194519043 1.0 15.005523681640625
knn_n67 3 2.0 0.1986841678619385 2.0 0.3212456226348877 2.0 8.784918165206909 2.0 24.85590624809265
knn_n67 4 6.0 0.21450161933898926 6.0 0.3392662048339844 6.0 4.6918555259704595 6.0 33.804672718048096
qft_n63 2 16.0 1.4051416873931886 16.0 7.61318392753601 15.0 105.3887640953064 31.0 38.32285394668579
qft_n63 3 28.0 1.3761660575866699 28.0 11.328239727020263 28.0 100.70860357284545 60.0 60.711627101898195
qft_n63 4 47.2 1.5256578922271729 47.2 15.44024133682251 47.0 87.79033389091491 93.0 73.9486087322235
qugan_n71 2 5.0 0.3462195873260498 5.0 0.7253412723541259 5.0 11.391972017288209 3.8 15.322670698165894
qugan_n71 3 10.0 0.37514548301696776 10.0 0.7693489074707032 10.0 8.146295309066772 13.4 21.355264711380006
qugan_n71 4 15.0 0.40345077514648436 15.0 0.7942779064178467 15.0 9.485173892974855 16.6 28.417614364624022
swap_test_n83 2 1.0 0.2576622009277344 1.0 0.44374022483825687 1.0 26.223692226409913 1.0 24.362061166763304
swap_test_n83 3 2.0 0.2773883819580078 2.0 0.46620631217956543 2.0 20.203760385513306 2.0 35.499524402618405
swap_test_n83 4 6.0 0.2941287517547607 6.0 0.48153047561645507 6.0 17.081532287597653 6.0 59.98159394264221
wstate_n76 2 2.0 0.10484104156494141 2.0 0.15593438148498534 2.0 0.6657681465148927 1.4 6.851033067703247
wstate_n76 3 4.0 0.1145103931427002 4.0 0.16470050811767578 4.0 0.6870251655578614 3.0 8.63608980178833
wstate_n76 4 6.0 0.11681866645812988 6.0 0.16672906875610352 6.0 0.7034008502960205 5.0 10.983082580566407
