num_qubits r_mean r_min r_max
16 13.2 12.0 14.0
24 21.0 21.0 21.0
32 31.4 31.0 32.0
40 38.2 38.0 39.0
48 45.0 45.0 45.0
56 55.0 55.0 55.0
64 62.0 62.0 62.0
72 69.0 69.0 69.0
80 79.2 79.0 80.0
88 86.0 86.0 86.0
96 93.2 93.0 94.0
