num_qubits r_mean r_min r_max
16 0.46615214347839357 0.44510698318481445 0.4904158115386963
24 1.3563745498657227 1.33461332321167 1.4044737815856934
32 2.709441328048706 2.697117328643799 2.719449281692505
40 4.9792930603027346 4.877912282943726 5.072651147842407
48 8.306509113311767 8.133291006088257 8.414029121398926
56 11.93690357208252 11.59465479850769 12.187734603881836
64 17.179354333877562 17.051496028900146 17.38593864440918
72 23.12609395980835 22.71190857887268 23.491482734680176
80 31.603804111480713 31.43872570991516 31.868667125701904
88 40.960654735565186 40.41875243186951 41.857088565826416
96 53.917615509033205 52.96176242828369 54.66584897041321
