num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 0.09168462753295899 0.08789610862731934 0.09530901908874512 0.06239337921142578 0.05901479721069336 0.06593155860900879 0.06194858551025391 0.05674242973327637 0.06620526313781738 0.04432826042175293 0.042470693588256836 0.04879117012023926
24 0.4363852500915527 0.4159371852874756 0.47433996200561523 0.2520965576171875 0.23914885520935059 0.2611517906188965 0.25255908966064455 0.2462153434753418 0.2585296630859375 0.1756289482116699 0.16846895217895508 0.18338727951049805
32 1.1320192337036132 1.0993337631225586 1.1562011241912842 0.6424915313720703 0.6234173774719238 0.6579511165618896 0.6280174732208252 0.6145687103271484 0.6406662464141846 0.42505497932434083 0.41278839111328125 0.43709492683410645
40 2.9329349994659424 2.8507771492004395 2.9902639389038086 1.6105092525482179 1.572279453277588 1.6732170581817627 1.4964909076690673 1.4607994556427002 1.5377094745635986 0.950137710571289 0.9379277229309082 0.9840691089630127
48 5.552420949935913 5.299215316772461 5.912599086761475 2.9206032752990723 2.9019055366516113 2.9441514015197754 2.6916210651397705 2.666205644607544 2.70599627494812 1.7450151920318604 1.695296049118042 1.8116753101348877
56 9.754798078536988 9.628130197525024 9.99361801147461 4.620294094085693 4.563203573226929 4.666388273239136 4.629433059692383 4.539690017700195 4.686463832855225 2.8824987411499023 2.8279213905334473 2.9706921577453613
64 16.370062017440794 15.893070936203003 17.196796894073486 7.391380739212036 7.143601417541504 7.582895755767822 7.383917427062988 7.175337076187134 7.6322081089019775 4.573061561584472 4.399033784866333 4.769783020019531
72 29.852170610427855 28.841164112091064 31.043313026428223 12.651156616210937 12.543872117996216 12.780319690704346 12.740946865081787 12.428710460662842 13.023818254470825 7.462878227233887 7.390100955963135 7.532100200653076
80 49.547818183898926 48.34172177314758 50.96511101722717 18.187381792068482 17.553465604782104 18.746819496154785 18.11926336288452 17.60711908340454 18.524484872817993 10.76222004890442 10.082890748977661 11.689237594604492
88 72.34375257492066 70.11205792427063 75.61179089546204 25.199853324890135 24.880723476409912 25.63884997367859 25.28597927093506 24.98958683013916 25.548766374588013 14.501378726959228 14.045308828353882 14.897343158721924
96 109.72346749305726 93.64500999450684 125.98660087585449 33.527730226516724 33.23093867301941 33.834527254104614 33.32653660774231 33.08323931694031 33.55829405784607 19.29142870903015 18.8992702960968 19.80021357536316
