pass	max_time_b	mean_time_b	min_time_b	max_time_f	mean_time_f	min_time_f	max_time_r	mean_time_r	min_time_r	max_time_w	mean_time_w	min_time_w
1	0.012338650914702482	0.011835670471191407	0.011332690027680331	0.838158756248568	0.7806402206420898	0.7231216850356117	0.02278911115892251	0.022350358963012695	0.021911606767102878	0.015535031941334923	0.01476445198059082	0.013993872019846717
2	0.012308897547935776	0.01170802116394043	0.011107144779945084	0.811641393232647	0.7655347347259521	0.7194280762192573	0.022644613191648316	0.0221463680267334	0.021648122861818483	0.015237744354087491	0.014162063598632812	0.013086382843178134
3	0.012171357197194919	0.011587190628051757	0.011003024058908595	0.7633599371673081	0.7235211849212646	0.6836824326752211	0.022379741322513472	0.02209324836730957	0.02180675541210567	0.014733649075215408	0.013994359970092773	0.013255070864970138
4	0.012191755476334396	0.011628437042236327	0.011065118608138259	0.7377472973931735	0.708379077911377	0.6790108584295805	0.02273248737157887	0.02239117622375488	0.022049865075930892	0.014513689474651347	0.013792657852172851	0.013071626229694355
5	0.012033363534484112	0.011519145965576173	0.011004928396668234	0.7477554799066851	0.7077077388763428	0.6676599978460004	0.0224109598521227	0.022133398056030273	0.021855836259937846	0.014543541118031333	0.01386246681213379	0.013181392506236246
6	0.012069266842640007	0.011543369293212891	0.011017471743785775	0.6950635517472359	0.6651545524597168	0.6352455531721977	0.022547431038053567	0.022069931030273438	0.021592431022493308	0.014365081320987017	0.01387786865234375	0.013390655983700483
7	0.012179975844528089	0.011609172821044922	0.011038369797561755	0.7698343128073256	0.7002264976501464	0.6306186824929673	0.02276401907711102	0.022231388092041015	0.02169875710697101	0.01452796965264949	0.01385183334350586	0.01317569703436223
8	0.012116058831098881	0.01154642105102539	0.010976783270951898	0.6963550171313291	0.6771448612213135	0.6579347053112978	0.022664601455855034	0.022214984893798827	0.02176536833174262	0.014636764643371117	0.013909387588500976	0.013182010533630835
9	0.012261228004888927	0.011646413803100586	0.011031599601312244	0.7136608947890348	0.669713306427002	0.6257657180649692	0.02258841016435449	0.02204122543334961	0.02149404070234473	0.014487202388188073	0.013851594924926759	0.013215987461665444
10	0.012236789310656518	0.011638450622558593	0.011040111934460669	0.9307579855620037	0.7757408142089843	0.6207236428559649	0.022939214315077925	0.022351408004760744	0.021763601694443562	0.01468810769823077	0.013926935195922852	0.013165762693614934
11	0.04024157924654471	0.03885407447814941	0.037466569709754115	0.7411447358042835	0.6966544151306152	0.6521640944569469	0.02681240870420939	0.026253414154052735	0.02569441960389608	0.04813316309953119	0.04714188575744629	0.04615060841536139
12	0.04032224412170055	0.03845195770263672	0.03658167128357289	0.7160951965178466	0.68663330078125	0.6571714050446533	0.02621433787267691	0.025668954849243163	0.025123571825809415	0.049346727748361	0.04696798324584961	0.04458923874333822
13	0.03910663906114712	0.03754420280456543	0.03598176654798373	0.7074013295479287	0.6879804134368896	0.6685594973258506	0.0257899373662743	0.025321435928344727	0.024852934490415153	0.0506979854847469	0.0481231689453125	0.0455483524058781
14	0.03888068269961367	0.037446022033691406	0.03601136136776914	0.6899918645434666	0.684088945388794	0.6781860262341213	0.02606181229013397	0.02528681755065918	0.024511822811184393	0.05018264812486405	0.04663505554199219	0.043087462959120325
