num_qubits r_mean r_min r_max
16 0.04505772590637207 0.043279409408569336 0.047387123107910156
24 0.11413445472717285 0.10983061790466309 0.12211489677429199
32 0.3137840747833252 0.30183839797973633 0.33047914505004883
40 0.7307872772216797 0.7113549709320068 0.7397561073303223
48 1.519548225402832 1.3872156143188477 1.679351806640625
56 2.467775821685791 2.344602108001709 2.678280830383301
64 4.045178318023682 3.9622063636779785 4.114808797836304
72 6.223888206481933 6.157106399536133 6.360008955001831
80 9.415553092956543 9.074118375778198 9.692342281341553
88 12.92990550994873 12.686480283737183 13.131056785583496
96 17.516887140274047 17.255338191986084 17.867567539215088
