num_qubits r_mean r_min r_max
16 13.6 11.0 16.0
24 32.8 29.0 36.0
32 94.4 91.0 97.0
40 183.0 171.0 190.0
48 310.8 305.0 322.0
56 466.2 452.0 476.0
64 650.0 631.0 669.0
72 902.2 889.0 914.0
80 1154.4 1111.0 1173.0
88 1457.2 1433.0 1485.0
96 1791.4 1771.0 1817.0
