num_qubits r_mean r_min r_max
16 51.8 48.0 60.0
24 111.0 102.0 122.0
32 206.8 194.0 225.0
40 320.4 314.0 325.0
48 476.0 456.0 494.0
56 624.2 597.0 654.0
64 826.2 802.0 849.0
72 1028.4 990.0 1048.0
80 1298.4 1284.0 1310.0
88 1564.6 1549.0 1591.0
96 1899.4 1868.0 1926.0
