num_qubits r_mean r_min r_max
16 0.11672592163085938 0.11526966094970703 0.11779093742370605
24 0.3500828266143799 0.3282966613769531 0.4060971736907959
32 0.6693449020385742 0.6573708057403564 0.6797366142272949
40 1.3071921348571778 1.229696273803711 1.3972556591033936
48 2.040693664550781 1.9613187313079834 2.137578248977661
56 3.0450172424316406 2.9709460735321045 3.1001710891723633
64 4.566583299636841 4.306312799453735 4.855814218521118
72 6.451477527618408 6.3400843143463135 6.530421733856201
80 8.789023447036744 8.383136987686157 9.427326917648315
88 11.365162086486816 11.155628442764282 11.6615149974823
96 14.627940464019776 14.241423606872559 15.037667751312256
