num_qubits r_mean r_min r_max
16 12.2 11.0 13.0
24 25.0 22.0 29.0
32 78.4 71.0 87.0
40 147.2 143.0 151.0
48 245.0 239.0 258.0
56 370.0 361.0 379.0
64 513.6 507.0 528.0
72 692.8 678.0 721.0
80 909.8 885.0 935.0
88 1141.0 1127.0 1150.0
96 1390.0 1386.0 1393.0
