pass	max_time_b	mean_time_b	min_time_b	max_time_f	mean_time_f	min_time_f	max_time_r	mean_time_r	min_time_r	max_time_w	mean_time_w	min_time_w
1	0.011681732651035372	0.011181449890136719	0.010681167129238067	0.030984133128044336	0.029124689102172852	0.02726524507630137	0.022248203690865123	0.021305179595947264	0.020362155501029405	0.009397806504365959	0.008832073211669922	0.008266339918973886
2	0.011742400433227749	0.011215019226074218	0.010687638018920687	0.028063735475080936	0.027531909942626952	0.02700008441017297	0.022241670934317535	0.021376657485961913	0.020511644037606292	0.007051645624206283	0.005972576141357422	0.004893506658508561
3	0.011712730682662533	0.011072397232055664	0.010432063781448795	0.027915311772818224	0.027155542373657228	0.02639577297449623	0.021443507192077133	0.021004199981689453	0.020564892771301774	0.006966534464667566	0.00610818862915039	0.005249842793633215
4	0.011704025632971203	0.01116194725036621	0.010619868867761218	0.028027298096273523	0.026908063888549806	0.02578882968082609	0.021922099332820806	0.021204328536987303	0.0204865577411538	0.005169890839593655	0.004706144332885742	0.0042423978261778295
5	0.011675312517656135	0.011111831665039063	0.01054835081242199	0.02892168158722105	0.02775235176086426	0.026583021934507466	0.02124131450500427	0.02099323272705078	0.020745150949097294	0.005698081081067138	0.0049774169921875	0.004256752903307862
6	0.0117207312962656	0.011231517791748047	0.010742304287230494	0.027935298376500935	0.02708754539489746	0.026239792413293984	0.021823150039205635	0.021259355545043945	0.020695561050882254	0.005357771829150519	0.004738998413085937	0.004120224997021356
7	0.011848909310331293	0.011106061935424804	0.010363214560518315	0.02882799500869724	0.02803664207458496	0.02724528914047268	0.021968101700331272	0.02124476432800293	0.020521426955674587	0.005560031097472903	0.004836463928222656	0.004112896758972409
8	0.011881972567980736	0.011072158813476562	0.010262345058972389	0.028637723743723087	0.027704381942749025	0.026771040141774963	0.02185812843434224	0.02119269371032715	0.02052725898631206	0.005683467164318596	0.0047763347625732425	0.0038692023608278884
9	0.011619775919706242	0.010962581634521485	0.010305387349336727	0.02915383261793758	0.027928686141967772	0.026703539665997963	0.021793646776699656	0.021389341354370116	0.020985035932040576	0.005696791172396863	0.004763650894165039	0.003830510615933216
10	0.011852766652791896	0.010950756072998048	0.0100487454932042	0.02912473992887066	0.02718195915222168	0.025239178375572695	0.021911095614245712	0.021227407455444335	0.02054371929664296	0.005131900661733498	0.004492807388305664	0.0038537141148778306
11	0.008554832641017838	0.008198213577270509	0.00784159451352318	0.029526368621461994	0.028356361389160156	0.027186354156858317	0.018838905941766168	0.018074989318847656	0.017311072695929144	0.008441246892688114	0.0077762603759765625	0.007111273859265011
12	0.00844557513787981	0.00781874656677246	0.007191917995665111	0.02829383220163046	0.027340221405029296	0.026386610608428132	0.01805934898017005	0.01747589111328125	0.01689243324639245	0.008705146567558998	0.007717132568359375	0.0067291185691597515
13	0.00852693626187103	0.00796494483947754	0.007402953417084049	0.029598700670086568	0.02845344543457031	0.027308190199054054	0.018136714179126046	0.01745004653930664	0.016763378899487237	0.008117491673065047	0.007594060897827148	0.007070630122589248
14	0.008227985845795241	0.007696294784545898	0.007164603723296555	0.029515384522044726	0.02772865295410156	0.025941921386158397	0.017894819189259472	0.017481422424316405	0.017068025659373338	0.008176074155886361	0.007616758346557617	0.007057442537228872
15	0.00804019157542157	0.007631635665893555	0.007223079756365539	0.028360737754014497	0.027011919021606445	0.025663100289198392	0.01844130344341597	0.01798238754272461	0.017523471642033252	0.008011984297191454	0.007571077346801758	0.007130170396412064
16	0.00791148845509613	0.007464122772216797	0.007016757089337464	0.028895173077988424	0.027398681640625	0.025902190203261573	0.018096651923060078	0.017433929443359374	0.01677120696365867	0.00804422450704902	0.007572650909423828	0.007101077311798636
17	0.008288865302818346	0.007778024673461914	0.007267184044105482	0.028997163825851498	0.027997493743896484	0.02699782366194147	0.018058335926742677	0.017360210418701172	0.016662084910659666	0.008024377874909153	0.007525348663330078	0.0070263194517510025
18	0.008147451973110701	0.007692813873291016	0.00723817577347133	0.027710039765338798	0.026508092880249023	0.02530614599515925	0.018276061203882563	0.017679309844970702	0.01708255848605884	0.00862607030714318	0.007908296585083009	0.007190522863022838
19	0.008181245562622282	0.007805013656616211	0.00742878175061014	0.028794712675008636	0.027759265899658204	0.026723819124307772	0.017914762619141024	0.01742854118347168	0.016942319747802338	0.008220768412791261	0.007779455184936524	0.0073381419570817865
20	0.008228748981726796	0.00786452293395996	0.007500296886193125	0.02893422866739254	0.027234745025634766	0.025535261383876993	0.018353584953356775	0.01779165267944336	0.017229720405529947	0.007810419737333924	0.007526206970214844	0.007241994203095764
21	0.010758806471179702	0.010269594192504884	0.009780381913830065	0.02931891668619425	0.027374935150146485	0.02543095361409872	0.016028153369373577	0.015428256988525391	0.014828360607677208	0.011289607624865887	0.010499811172485352	0.009710014720104817
22	0.01028501595899043	0.009949016571044921	0.009613017183099412	0.027391859203663767	0.02642064094543457	0.025449422687205372	0.015238760419244782	0.01472768783569336	0.014216615252141938	0.01082905601587953	0.010216140747070312	0.009603225478261094
23	0.01031370681228702	0.009869718551635742	0.009425730290984464	0.028445363567721635	0.02713618278503418	0.02582700200234672	0.015427275029188867	0.01495065689086914	0.014474038752549413	0.01088308005344381	0.010170793533325196	0.009458507013206581
24	0.010554631449453695	0.009962511062622071	0.009370390675790447	0.0277424684039336	0.026610946655273436	0.02547942490661327	0.015633166782785982	0.015064477920532227	0.014495789058278473	0.011094957002838827	0.01028428077697754	0.009473604551116252
25	0.010290830000898204	0.009905052185058594	0.009519274369218985	0.027705968934417933	0.027024173736572267	0.0263423785387266	0.015307075812648445	0.014818143844604493	0.01432921187656054	0.010619306680450379	0.01004166603088379	0.009464025381317201
26	0.010852707338023354	0.009908199310302734	0.008963691282582115	0.028252972343334383	0.027331209182739256	0.02640944602214413	0.015312059149179465	0.01484990119934082	0.014387743249502176	0.010872047423682338	0.010388660430908202	0.009905273438134066
27	0.010730133175567591	0.00996098518371582	0.00919183719186405	0.02950476763509087	0.027814054489135744	0.026123341343180617	0.01590726885611622	0.01491084098815918	0.01391441312020214	0.011453373145050112	0.010596799850463866	0.009740226555877621
28	0.01177382792035359	0.010400533676147461	0.009027239431941331	0.027188111451007305	0.026468420028686525	0.025748728606365744	0.01613343274425704	0.015113496780395507	0.014093560816533974	0.011240278187249559	0.01042003631591797	0.00959979444458638
29	0.010608168092375242	0.009961366653442383	0.009314565214509523	0.02863007503982767	0.027300691604614256	0.025971308169400843	0.016004247756208054	0.014955806732177734	0.013907365708147412	0.012066678717434304	0.010785245895385742	0.00950381307333718
30	0.010442574458546034	0.009873342514038087	0.00930411056953014	0.028487067902612576	0.026903533935546876	0.025319999968481176	0.015767592334454187	0.01499624252319336	0.014224892711932533	0.011840699846233614	0.010674190521240235	0.009507681196246856
31	0.013211634016431975	0.01262507438659668	0.012038514756761385	0.027874588535572488	0.02693181037902832	0.02598903222248415	0.016002936415940743	0.0146942138671875	0.013385491318434257	0.014105806777929575	0.013431596755981445	0.012757386734033314
