x y1 y2
1.0 60.56844959259033 172.8
0.95 61.35821986198425 177.2
0.9 47.10915117263794 162.2
0.85 36.64405498504639 159.6
0.8 30.967292404174806 154.0
0.75 26.210141611099242 148.4
0.7 21.954903411865235 148.4
0.6499999999999999 18.464933156967163 141.8
0.6 15.216514825820923 135.8
0.55 12.473281764984131 134.0
0.5 9.96307020187378 129.4
0.44999999999999996 8.043616199493409 119.6
0.3999999999999999 6.32967357635498 119.4
0.35 4.989377021789551 109.8
0.29999999999999993 3.921259355545044 107.6
0.25 3.0623454093933105 98.8
0.19999999999999996 2.381136178970337 100.0
0.1499999999999999 1.9202576160430909 101.2
0.09999999999999998 1.520034408569336 112.4
0.04999999999999993 1.1722836017608642 126.8
