num_qubits r_mean r_min r_max
16 0.2185957431793213 0.1883084774017334 0.23553848266601562
24 0.5342924118041992 0.47875475883483887 0.5604026317596436
32 1.1567611694335938 1.0746405124664307 1.264455795288086
40 2.128653144836426 1.9485349655151367 2.3073694705963135
48 3.5426769256591797 3.2796378135681152 3.754512310028076
56 5.448391437530518 5.1667211055755615 5.688528537750244
64 8.206184911727906 7.6898417472839355 8.396805047988892
72 11.419694709777833 11.293624877929688 11.502695798873901
80 16.00405173301697 15.649831771850586 16.44888663291931
88 22.180334615707398 21.8280029296875 23.073872804641724
96 28.15974431037903 26.979986906051636 29.050090074539185
