num_qubits r_mean r_min r_max
16 14.0 14.0 14.0
24 21.0 21.0 21.0
32 31.0 31.0 31.0
40 38.0 38.0 38.0
48 45.0 45.0 45.0
56 55.0 55.0 55.0
64 62.0 62.0 62.0
72 69.0 69.0 69.0
80 79.0 79.0 79.0
88 86.0 86.0 86.0
96 93.0 93.0 93.0
