# num_qubits r_mean r_min r_max
16 55.2 49.0 59.0
24 175.8 165.0 195.0
32 379.4 357.0 397.0
40 652.4 642.0 660.0
48 1008.4 986.0 1027.0
56 1490.4 1468.0 1532.0
64 2098.0 2036.0 2139.0
72 3250.8 3109.0 3363.0
80 3767.0 3730.0 3807.0
88 4579.0 4541.0 4675.0
96 5590.333333333333 5572.0 5618.0
