num_qubits r_mean r_min r_max
16 12.2 10.0 14.0
24 25.0 23.0 27.0
32 76.2 72.0 83.0
40 147.6 140.0 160.0
48 264.6 255.0 283.0
56 396.8 389.0 402.0
64 574.2 554.0 607.0
72 806.6 781.0 819.0
80 1072.2 1034.0 1114.0
88 1357.2 1334.0 1374.0
96 1707.6 1677.0 1743.0
