num_qubits r_mean r_min r_max
16 7.0 7.0 7.0
24 11.0 11.0 11.0
32 15.0 15.0 15.0
40 19.0 19.0 19.0
48 23.0 23.0 23.0
56 27.0 27.0 27.0
64 31.0 31.0 31.0
72 35.0 35.0 35.0
80 39.0 39.0 39.0
88 43.0 43.0 43.0
96 47.0 47.0 47.0
