num_qubits r_mean r_min r_max
16 18.0 18.0 18.0
24 30.0 30.0 30.0
32 42.0 42.0 42.0
40 54.0 54.0 54.0
48 66.0 66.0 66.0
56 78.0 78.0 78.0
64 90.0 90.0 90.0
72 102.0 102.0 102.0
80 114.0 114.0 114.0
88 126.0 126.0 126.0
96 138.0 138.0 138.0
