num_qubits r_mean r_min r_max
112 8.30395770072937 8.11309289932251 8.563316822052002
128 11.34672508239746 10.999922037124634 11.78954267501831
144 16.10707817077637 15.808746337890625 16.414363622665405
160 20.847029399871825 20.635884523391724 21.107191801071167
176 27.24517378807068 26.86618208885193 28.494362592697144
192 33.52848405838013 32.70544648170471 34.10902237892151
208 40.61518168449402 40.14830660820007 41.29449248313904
224 50.5952226638794 48.74010181427002 51.54523849487305
240 59.05089354515076 58.64371633529663 59.45576810836792
256 70.5722583770752 69.81187868118286 71.02702403068542
