num_qubits r_mean r_min r_max
16 0.3314973831176758 0.3245997428894043 0.33899784088134766
24 0.7997700691223144 0.7892940044403076 0.8074140548706055
32 1.5056589126586915 1.4591271877288818 1.6208062171936035
40 2.6685428619384766 2.644881248474121 2.699127197265625
48 4.344809818267822 4.235605716705322 4.475484371185303
56 6.492888355255127 6.259353399276733 6.570317983627319
64 9.091477584838866 9.008870124816895 9.346269845962524
72 13.427779006958009 12.690101146697998 14.436647415161133
80 17.800523710250854 17.081159830093384 18.58353304862976
88 23.50979552268982 22.85667586326599 23.899723529815674
96 29.433953952789306 29.168261528015137 29.90484046936035
