num_qubits r_mean r_min r_max
16 17.2 15.0 20.0
24 30.0 28.0 32.0
32 44.0 42.0 46.0
40 58.0 56.0 59.0
48 69.0 68.0 71.0
56 81.4 79.0 83.0
64 94.2 94.0 95.0
72 106.2 103.0 109.0
80 118.0 117.0 121.0
88 129.2 127.0 130.0
96 142.4 141.0 145.0
