num_qubits r_mean r_min r_max
112 1213.6 1201.0 1230.0
128 1576.4 1544.0 1608.0
144 2009.4 1994.0 2023.0
160 2494.0 2465.0 2512.0
176 3035.0 3009.0 3074.0
192 3603.4 3564.0 3634.0
208 4274.2 4218.0 4318.0
224 4964.4 4943.0 4976.0
240 5681.6 5640.0 5709.0
256 6477.4 6427.0 6526.0
