num_qubits r_mean r_min r_max
16 0.0705063819885254 0.06375861167907715 0.07499313354492188
24 0.19338550567626953 0.18642187118530273 0.20349788665771484
32 0.6364612579345703 0.5905234813690186 0.681058406829834
40 1.7049617290496826 1.564183235168457 1.8897838592529297
48 3.3442909717559814 3.1398041248321533 3.4819235801696777
56 5.705236625671387 5.497262239456177 6.076839208602905
64 9.36406512260437 8.953448295593262 10.001167297363281
72 13.871360731124877 13.337475061416626 14.445798397064209
80 20.829813146591185 19.880312204360962 21.721161603927612
88 29.673247146606446 28.333302974700928 31.969279527664185
96 39.56577053070068 37.94364404678345 40.340617656707764
