num_qubits fraction r_cost_mean r_cost_lower r_cost_upper time_r_mean time_r_lower time_r_upper ebit_fraction_mean ebit_fraction_lower ebit_fraction_upper
72 0.7 1310.400000 1274.243396 1346.556604 19.795272 19.135126 20.455417 0.730390 0.705986 0.754793
72 0.8 1269.200000 1250.918862 1287.481138 25.803925 24.519023 27.088827 0.613881 0.604022 0.623740
72 0.9 1006.400000 984.155900 1028.644100 32.974574 31.932201 34.016948 0.434769 0.423391 0.446147
80 0.2 637.400000 619.970141 654.829859 10.964643 10.620224 11.309063 1.036000 1.002135 1.069865
80 0.3 962.200000 956.059967 968.340033 14.494383 14.196602 14.792163 1.016069 1.010503 1.021634
80 0.4 1228.000000 1199.991073 1256.008927 18.119506 17.329083 18.909928 0.985465 0.973572 0.997358
80 0.5 1478.600000 1443.233349 1513.966651 21.505937 20.906196 22.105678 0.942741 0.921847 0.963635
80 0.6 1664.600000 1642.764249 1686.435751 27.835552 27.035757 28.635347 0.872741 0.861718 0.883764
80 0.7 1759.200000 1740.946233 1777.453767 31.980593 31.354323 32.606863 0.794585 0.786914 0.802256
80 0.8 1708.800000 1684.454569 1733.145431 40.646424 39.711085 41.581762 0.673045 0.659184 0.686907
80 0.9 1366.000000 1321.033346 1410.966654 52.971319 51.147860 54.794778 0.478239 0.461990 0.494487
88 0.2 791.800000 773.642357 809.957643 15.502269 14.678309 16.326229 1.053591 1.027527 1.079656
88 0.3 1186.400000 1153.562521 1219.237479 20.729860 20.243343 21.216378 1.044468 1.031368 1.057568
88 0.4 1547.600000 1541.331029 1553.868971 26.594637 25.933642 27.255632 1.017506 1.002040 1.032971
88 0.5 1855.800000 1818.360716 1893.239284 31.279675 30.485488 32.073861 0.966470 0.955218 0.977721
88 0.6 2107.600000 2063.432138 2151.767862 40.464594 39.555642 41.373545 0.911078 0.895110 0.927047
88 0.7 2201.600000 2177.845001 2225.354999 47.258743 46.491229 48.026256 0.820644 0.811778 0.829510
88 0.8 2152.200000 2101.384648 2203.015352 61.009761 59.676571 62.342951 0.699448 0.679150 0.719746
88 0.9 1785.800000 1747.235768 1824.364232 76.680904 74.256578 79.105230 0.517183 0.504165 0.530200
96 0.2 993.800000 956.568293 1031.031707 21.124985 20.831980 21.417990 1.105297 1.081872 1.128723
96 0.3 1491.400000 1441.058168 1541.741832 27.744364 27.332859 28.155869 1.096747 1.071443 1.122051
96 0.4 1958.600000 1938.159843 1979.040157 36.540560 35.551160 37.529960 1.072774 1.061711 1.083837
96 0.5 2347.600000 2290.125658 2405.074342 44.866055 44.032704 45.699406 1.024343 1.012178 1.036509
96 0.6 2654.600000 2611.911594 2697.288406 55.110185 53.284896 56.935475 0.973488 0.956019 0.990956
96 0.7 2823.800000 2785.411200 2862.188800 69.127769 67.367657 70.887881 0.880143 0.867852 0.892434
96 0.8 2714.200000 2686.080612 2742.319388 89.295503 87.775826 90.815181 0.739371 0.730996 0.747746
96 0.9 2227.600000 2192.896974 2262.303026 112.701474 111.240514 114.162434 0.539663 0.530988 0.548337
