# num_qubits fgp_mean fgp_min fgp_max16 0.01698622703552246 0.0167849063873291 0.01726818084716797
24 0.052817678451538085 0.051589250564575195 0.05348014831542969
32 0.1546182155609131 0.12024998664855957 0.18042898178100586
40 0.27555317878723146 0.23353791236877441 0.30580782890319824
48 0.46681766510009765 0.41443324089050293 0.49713993072509766
56 0.7380380153656005 0.7214279174804688 0.7708761692047119
64 1.064046859741211 1.0601122379302979 1.0696260929107666
72 1.5755406856536864 1.5433859825134277 1.5962498188018799
80 2.2152350425720213 2.1832048892974854 2.240934133529663
88 3.078262996673584 2.9629530906677246 3.2980659008026123
96 4.02216362953186 3.9851131439208984 4.061487913131714
