num_qubits fgp_mean fgp_min fgp_max
8 0.0018249750137329102 0.0015871524810791016 0.0027151107788085938
16 0.011726689338684083 0.007356882095336914 0.03396916389465332
24 0.04155411720275879 0.027686119079589844 0.05142712593078613
32 0.13861513137817383 0.08964014053344727 0.19402003288269043
40 0.35927770137786863 0.2389082908630371 0.4616818428039551
48 0.7920055389404297 0.5066113471984863 1.0850229263305664
56 1.5461850881576538 0.9887399673461914 2.083131790161133
64 2.7533367395401003 1.7553060054779053 3.7362711429595947
72 4.639323592185974 2.986485004425049 6.2150678634643555
80 7.4512821435928345 4.711861848831177 10.24522590637207
88 11.716264915466308 7.018126964569092 16.021864891052246
96 17.139524960517882 10.74540114402771 23.735944986343384
