num_qubits fgp_mean fgp_min fgp_max
112 24.807388973236083 23.993011951446533 25.460112810134888
120 35.09678740501404 34.60403490066528 35.96193790435791
128 48.622964429855344 47.087077140808105 49.52627992630005
136 66.72032623291015 65.38183498382568 69.08336091041565
144 88.92599649429322 86.8804919719696 92.35820531845093
152 117.44475321769714 112.07793474197388 123.31760907173157
160 150.98044924736024 143.56289911270142 166.55829310417175
168 187.73760137557983 185.67568397521973 192.18112897872925
176 244.69156994819642 237.73992204666138 258.4640839099884
184 306.75317487716677 296.0572462081909 325.1896629333496
192 370.70115599632265 359.7266438007355 380.2112350463867
200 468.3953327178955 439.3927369117737 505.45416021347046
208 575.5000658988953 562.26659989357 586.523619890213
216 666.7549072901407 654.9030828475952 676.1473100185394
224 743.1494210720062 726.2524311542511 757.0685451030731
232 2733.501415538788 884.2992858886719 5308.188199043274
240 1025.7169943650563 1013.0086109638214 1044.4471411705017
256 1479.513035138448 1475.8116836547852 1482.526973962784
