# num_qubits fgp_mean fgp_min fgp_max16 0.007080221176147461 0.0058307647705078125 0.008910655975341797
24 0.017794132232666016 0.016941070556640625 0.018826007843017578
32 0.03851509094238281 0.03793215751647949 0.03882908821105957
40 0.09278731346130371 0.0706489086151123 0.17591404914855957
48 0.1339846134185791 0.11936211585998535 0.18753480911254883
56 0.21724400520324708 0.18924283981323242 0.27129602432250977
64 0.27388629913330076 0.2712211608886719 0.27725791931152344
72 0.39716081619262694 0.3854231834411621 0.4355459213256836
80 0.5416808128356934 0.519312858581543 0.5759460926055908
88 0.7446725845336915 0.7253260612487793 0.7573268413543701
96 0.9403432846069336 0.8971860408782959 0.9637722969055176
