num_qubits fgp_mean fgp_min fgp_max
112 1085.6 1074.0 1112.0
120 1247.6 1238.0 1256.0
128 1414.0 1380.0 1434.0
136 1591.2 1556.0 1634.0
144 1794.8 1772.0 1824.0
152 1996.0 1974.0 2022.0
160 2192.4 2166.0 2208.0
168 2448.4 2416.0 2478.0
176 2666.8 2610.0 2702.0
184 2920.4 2880.0 2970.0
192 3175.2 3150.0 3190.0
200 3462.4 3430.0 3510.0
208 3715.6 3676.0 3764.0
216 3996.0 3986.0 4004.0
224 4305.2 4252.0 4338.0
232 4614.4 4580.0 4654.0
240 4935.333333333333 4892.0 4980.0
256 5612.0 5570.0 5680.0
