# num_qubits fgp_mean fgp_min fgp_max16 13.2 10.0 16.0
24 48.4 46.0 50.0
32 100.8 90.0 112.0
40 184.8 170.0 192.0
48 309.6 294.0 324.0
56 443.2 426.0 470.0
64 604.0 595.0 610.0
72 809.2 796.0 841.0
80 1025.6 994.0 1058.0
88 1295.8 1246.0 1348.0
96 1599.8 1571.0 1622.0
