# num_qubits r_mean r_min r_max
16 11.0 10.0 13.0
24 39.8 34.0 45.0
32 96.6 86.0 107.0
40 182.0 167.0 197.0
48 291.2 280.0 303.0
56 437.4 415.0 465.0
64 625.6 608.0 644.0
72 848.0 798.0 883.0
80 1085.0 1056.0 1100.0
88 1356.2 1320.0 1381.0
96 1719.8 1658.0 1748.0
