# num_qubits r_mean r_min r_max
16 4.6 4.0 6.0
24 24.0 20.0 28.0
32 55.8 51.0 61.0
40 105.4 101.0 111.0
48 166.0 159.0 169.0
56 242.6 229.0 251.0
64 335.8 323.0 345.0
72 451.8 444.0 462.0
80 568.2 555.0 594.0
88 703.0 677.0 722.0
96 861.2 854.0 871.0
