# num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 7.5 4.0 10.0 5.8 4.0 8.0 7.5 4.0 10.0 5.8 4.0 7.0
24 32.8 26.0 44.0 25.0 22.0 29.0 36.0 33.0 42.0 24.6 22.0 28.0
32 68.8 60.0 75.0 56.0 50.0 65.0 64.4 56.0 75.0 56.6 50.0 62.0
40 125.4 112.0 130.0 106.8 96.0 114.0 112.6 98.0 123.0 101.8 94.0 105.0
48 205.8 201.0 214.0 177.0 164.0 182.0 176.2 166.0 187.0 162.0 157.0 169.0
56 296.2 272.0 319.0 262.6 241.0 290.0 259.8 243.0 274.0 243.0 224.0 263.0
64 414.8 394.0 431.0 369.2 360.0 384.0 346.8 333.0 356.0 338.0 330.0 348.0
72 540.4 527.0 546.0 480.0 473.0 496.0 454.2 443.0 470.0 451.4 439.0 465.0
80 670.2 661.0 676.0 607.4 578.0 645.0 568.0 554.0 578.0 552.6 547.0 557.0
88 843.6 827.0 865.0 767.2 751.0 794.0 711.0 701.0 729.0 703.8 687.0 734.0
