# num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 16.5 13.0 20.0 13.9 12.0 17.0 15.5 12.0 19.0 14.1 12.0 17.0
24 62.8 59.0 68.0 53.6 50.0 57.0 57.6 54.0 60.0 51.4 51.0 52.0
32 138.0 125.0 148.0 123.4 116.0 131.0 123.0 114.0 131.0 116.8 108.0 125.0
40 259.0 251.0 268.0 227.0 217.0 239.0 219.2 209.0 227.0 214.0 204.0 219.0
48 402.8 387.0 419.0 369.8 360.0 379.0 342.6 334.0 347.0 337.8 333.0 342.0
56 590.2 573.0 611.0 553.6 537.0 570.0 498.4 493.0 506.0 496.6 484.0 509.0
64 823.8 811.0 834.0 763.2 743.0 783.0 691.4 676.0 705.0 699.2 682.0 719.0
72 1084.0 1067.0 1104.0 1026.2 1001.0 1040.0 922.0 893.0 939.0 932.8 920.0 943.0
80 1387.0 1359.0 1411.0 1261.8 1235.0 1300.0 1159.0 1119.0 1185.0 1154.4 1131.0 1176.0
88 1716.4 1707.0 1738.0 1594.2 1565.0 1618.0 1445.0 1432.0 1461.0 1456.8 1435.0 1474.0
