# num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 0.16870262622833251 0.150360107421875 0.18563008308410645 0.1703174352645874 0.15067434310913086 0.22157001495361328 0.10822529792785644 0.04384899139404297 0.18332624435424805 0.14497582912445067 0.1348130702972412 0.15555143356323242
24 0.7215943813323975 0.6698870658874512 0.7597098350524902 0.6907085418701172 0.6391170024871826 0.747319221496582 0.25851120948791506 0.24210715293884277 0.27779340744018555 0.5762064456939697 0.5442988872528076 0.6104319095611572
32 1.865006923675537 1.8232691287994385 1.9296798706054688 1.7170440673828125 1.6225414276123047 1.8336148262023926 0.860201644897461 0.8436157703399658 0.8716845512390137 1.323563003540039 1.3031163215637207 1.349501371383667
40 4.30595293045044 4.084872007369995 4.755547761917114 4.023993492126465 3.799642562866211 4.5503621101379395 2.443650007247925 2.304197072982788 2.73469614982605 3.101654624938965 3.004786491394043 3.386802911758423
48 8.139667892456055 7.680513858795166 8.548124074935913 7.6084589004516605 7.306617259979248 7.811947345733643 5.463560581207275 5.071582794189453 5.603302955627441 5.652455520629883 5.375494956970215 5.816970348358154
56 14.517087125778199 13.768080949783325 15.209544897079468 12.931660890579224 12.56000018119812 13.221374750137329 10.635011339187622 10.341763496398926 11.171967029571533 9.167202186584472 8.907434463500977 9.271717309951782
64 23.78753881454468 22.933689832687378 24.71222710609436 21.50480237007141 20.340332746505737 22.183324098587036 19.604310512542725 19.04272699356079 20.301917552947998 14.333235692977905 14.081151008605957 14.758118629455566
72 41.33653240203857 39.865866899490356 43.092636823654175 35.95715432167053 35.078625202178955 37.110923528671265 35.948866844177246 35.34642696380615 36.72001361846924 22.344906330108643 22.029274463653564 22.986966371536255
80 63.259149169921876 61.521894216537476 65.80330777168274 49.64848628044128 47.42313098907471 51.28080677986145 58.73828730583191 56.01818609237671 61.53383541107178 33.33430728912354 32.470946073532104 34.106653690338135
88 92.92376942634583 84.18553304672241 99.44597291946411 71.04447498321534 68.10741066932678 75.28559637069702 94.77366595268249 90.1926908493042 98.98921418190002 45.82663230895996 45.012322664260864 46.40377473831177
